TM,Z
2020-01-01 08:00:00,188.06
2020-01-11 08:00:00,187.99
2020-01-21 08:00:00,187.93
2020-02-01 08:00:00,187.81
2020-02-11 08:00:00,187.67
2020-02-21 08:00:00,187.55
2020-03-01 08:00:00,187.44
2020-03-02 08:00:00,187.42
2020-03-03 08:00:00,187.41
2020-03-04 08:00:00,187.4
2020-03-07 08:00:00,187.36
2020-03-09 08:00:00,187.34
2020-03-11 08:00:00,187.32
2020-03-15 08:00:00,187.28
2020-03-16 08:00:00,187.27
2020-03-17 08:00:00,187.26
2020-03-20 08:00:00,187.26
2020-03-21 08:00:00,187.27
2020-03-27 08:00:00,187.4
2020-04-01 08:00:00,187.45
2020-04-08 08:00:00,187.44
2020-04-09 08:00:00,187.43
2020-04-11 08:00:00,187.4
2020-04-20 08:00:00,187.3
2020-04-21 08:00:00,187.3
2020-04-22 08:00:00,187.29
2020-04-23 08:00:00,187.29
2020-04-25 08:00:00,187.28
2020-04-28 08:00:00,187.28
2020-04-29 08:00:00,187.27
2020-05-01 08:00:00,187.25
2020-05-02 08:00:00,187.25
2020-05-03 08:00:00,187.26
2020-05-04 08:00:00,187.28
2020-05-05 08:00:00,187.32
2020-05-06 08:00:00,187.36
2020-05-07 08:00:00,187.39
2020-05-08 08:00:00,187.41
2020-05-09 08:00:00,187.43
2020-05-10 08:00:00,187.45
2020-05-11 08:00:00,187.47
2020-05-12 08:00:00,187.48
2020-05-13 08:00:00,187.46
2020-05-14 08:00:00,187.43
2020-05-15 08:00:00,187.41
2020-05-16 08:00:00,187.38
2020-05-17 08:00:00,187.35
2020-05-18 08:00:00,187.32
2020-05-19 08:00:00,187.29
2020-05-20 08:00:00,187.26
2020-05-21 08:00:00,187.24
2020-05-22 08:00:00,187.21
2020-05-23 08:00:00,187.2
2020-05-24 08:00:00,187.22
2020-05-25 08:00:00,187.24
2020-05-26 08:00:00,187.26
2020-05-27 08:00:00,187.27
2020-05-28 08:00:00,187.27
2020-05-29 08:00:00,187.27
2020-05-30 08:00:00,187.28
2020-05-31 08:00:00,187.29
2020-06-01 08:00:00,187.3
2020-06-02 08:00:00,187.3
2020-06-03 08:00:00,187.31
2020-06-04 08:00:00,187.3
2020-06-05 08:00:00,187.28
2020-06-06 08:00:00,187.27
2020-06-07 08:00:00,187.25
2020-06-08 08:00:00,187.23
2020-06-09 08:00:00,187.21
2020-06-10 08:00:00,187.2
2020-06-11 08:00:00,187.2
2020-06-12 08:00:00,187.2
2020-06-13 08:00:00,187.19
2020-06-14 08:00:00,187.17
2020-06-15 08:00:00,187.15
2020-06-16 08:00:00,187.14
2020-06-17 08:00:00,187.11
2020-06-18 08:00:00,187.09
2020-06-19 08:00:00,187.06
2020-06-20 08:00:00,187.03
2020-06-21 08:00:00,187.01
2020-06-22 08:00:00,187.0
2020-06-23 08:00:00,187.0
2020-06-24 08:00:00,186.99
2020-06-25 08:00:00,186.96
2020-06-26 08:00:00,186.93
2020-06-27 08:00:00,186.9
2020-06-28 08:00:00,186.87
2020-06-29 08:00:00,186.85
2020-06-30 08:00:00,186.84
2020-07-01 08:00:00,186.83
2020-07-02 08:00:00,186.82
2020-07-03 08:00:00,186.8
2020-07-04 08:00:00,186.77
2020-07-05 08:00:00,186.74
2020-07-06 08:00:00,186.72
2020-07-07 08:00:00,186.71
2020-07-08 08:00:00,186.73
2020-07-09 08:00:00,186.75
2020-07-10 08:00:00,186.75
2020-07-11 08:00:00,186.73
2020-07-12 08:00:00,186.7
2020-07-13 08:00:00,186.67
2020-07-14 08:00:00,186.63
2020-07-15 08:00:00,186.6
2020-07-16 08:00:00,186.56
2020-07-17 08:00:00,186.53
2020-07-18 08:00:00,186.5
2020-07-19 08:00:00,186.47
2020-07-20 08:00:00,186.44
2020-07-21 08:00:00,186.41
2020-07-22 08:00:00,186.39
2020-07-23 08:00:00,186.37
2020-07-24 08:00:00,186.34
2020-07-25 08:00:00,186.3
2020-07-26 08:00:00,186.26
2020-07-27 08:00:00,186.22
2020-07-28 08:00:00,186.19
2020-07-29 08:00:00,186.15
2020-07-30 08:00:00,186.13
2020-07-31 08:00:00,186.1
2020-08-01 08:00:00,186.07
2020-08-02 08:00:00,186.05
2020-08-03 08:00:00,186.03
2020-08-04 08:00:00,186.02
2020-08-05 08:00:00,186.05
2020-08-06 08:00:00,186.04
2020-08-07 08:00:00,186.0
2020-08-08 08:00:00,185.96
2020-08-09 08:00:00,185.93
2020-08-10 08:00:00,185.89
2020-08-11 08:00:00,185.86
2020-08-12 08:00:00,185.83
2020-08-13 08:00:00,185.81
2020-08-14 08:00:00,185.81
2020-08-15 08:00:00,185.8
2020-08-16 08:00:00,185.78
2020-08-17 08:00:00,185.76
2020-08-18 08:00:00,185.75
2020-08-19 08:00:00,185.76
2020-08-20 08:00:00,185.74
2020-08-21 08:00:00,185.74
2020-08-22 08:00:00,185.75
2020-08-23 08:00:00,185.75
2020-08-24 08:00:00,185.75
2020-08-25 08:00:00,185.84
2020-08-26 08:00:00,185.94
2020-08-27 08:00:00,186.06
2020-08-28 08:00:00,186.18
2020-08-29 08:00:00,186.33
2020-08-30 08:00:00,186.48
2020-08-31 08:00:00,186.58
2020-09-01 08:00:00,186.68
2020-09-02 08:00:00,186.75
2020-09-03 08:00:00,186.82
2020-09-03 20:00:00,186.95
2020-09-04 02:00:00,187.07
2020-09-04 08:00:00,187.24
2020-09-04 11:00:00,187.31
2020-09-04 14:00:00,187.44
2020-09-04 20:00:00,187.67
2020-09-04 23:00:00,187.8
2020-09-05 02:00:00,187.9
2020-09-05 05:00:00,188.01
2020-09-05 08:00:00,188.11
2020-09-05 11:00:00,188.2
2020-09-05 12:00:00,188.21
2020-09-05 14:00:00,188.27
2020-09-05 17:00:00,188.34
2020-09-05 20:00:00,188.41
2020-09-06 02:00:00,188.52
2020-09-06 08:00:00,188.61
2020-09-06 11:00:00,188.65
2020-09-06 14:00:00,188.66
2020-09-06 20:00:00,188.68
2020-09-07 02:00:00,188.69
2020-09-07 08:00:00,188.69
2020-09-07 14:00:00,188.68
2020-09-07 20:00:00,188.65
2020-09-08 02:00:00,188.6
2020-09-08 08:00:00,188.62
2020-09-08 14:00:00,188.6
2020-09-08 20:00:00,188.61
2020-09-09 02:00:00,188.63
2020-09-09 08:00:00,188.66
2020-09-09 14:00:00,188.69
2020-09-09 20:00:00,188.75
2020-09-10 02:00:00,188.81
2020-09-10 08:00:00,188.89
2020-09-10 14:00:00,188.96
2020-09-10 20:00:00,189.05
2020-09-11 02:00:00,189.12
