TM,Z
2020-01-01 08:00:00,135.32
2020-01-02 08:00:00,135.48
2020-01-03 08:00:00,135.46
2020-01-04 08:00:00,135.46
2020-01-05 08:00:00,135.46
2020-01-06 08:00:00,135.43
2020-01-07 08:00:00,135.41
2020-01-08 08:00:00,135.35
2020-01-09 08:00:00,135.34
2020-01-10 08:00:00,135.37
2020-01-11 08:00:00,135.36
2020-01-12 08:00:00,135.32
2020-01-13 08:00:00,135.26
2020-01-14 08:00:00,135.24
2020-01-15 08:00:00,135.2
2020-01-16 08:00:00,135.17
2020-01-16 10:00:00,135.17
2020-01-17 08:00:00,135.14
2020-01-18 08:00:00,135.13
2020-01-19 08:00:00,135.13
2020-01-20 08:00:00,135.15
2020-01-21 08:00:00,135.2
2020-01-22 08:00:00,135.22
2020-01-23 08:00:00,135.2
2020-01-24 08:00:00,135.18
2020-01-25 08:00:00,135.18
2020-01-26 08:00:00,135.19
2020-01-27 08:00:00,135.14
2020-01-28 08:00:00,135.12
2020-01-29 08:00:00,135.1
2020-01-30 08:00:00,135.08
2020-01-31 08:00:00,135.1
2020-02-01 08:00:00,135.1
2020-02-02 08:00:00,135.1
2020-02-03 08:00:00,135.1
2020-02-04 08:00:00,135.09
2020-02-05 08:00:00,135.18
2020-02-06 08:00:00,135.23
2020-02-07 08:00:00,135.21
2020-02-08 08:00:00,135.17
2020-02-09 08:00:00,135.17
2020-02-10 08:00:00,135.18
2020-02-11 08:00:00,135.22
2020-02-12 08:00:00,135.2
2020-02-13 08:00:00,135.17
2020-02-14 08:00:00,135.21
2020-02-15 08:00:00,135.15
2020-02-16 08:00:00,135.24
2020-02-17 08:00:00,135.23
2020-02-18 08:00:00,135.25
2020-02-19 08:00:00,135.27
2020-02-20 08:00:00,135.28
2020-02-21 08:00:00,135.27
2020-02-22 08:00:00,135.28
2020-02-23 08:00:00,135.29
2020-02-24 08:00:00,135.28
2020-02-25 08:00:00,135.24
2020-02-26 08:00:00,135.23
2020-02-27 08:00:00,135.23
2020-02-28 08:00:00,135.26
2020-02-29 08:00:00,135.29
2020-03-01 08:00:00,135.32
2020-03-02 08:00:00,135.38
2020-03-03 08:00:00,135.44
2020-03-04 08:00:00,135.47
2020-03-05 08:00:00,135.49
2020-03-06 08:00:00,135.49
2020-03-06 11:00:00,135.49
2020-03-07 08:00:00,135.52
2020-03-08 08:00:00,135.56
2020-03-09 08:00:00,135.65
2020-03-10 08:00:00,135.7
2020-03-11 08:00:00,135.63
2020-03-12 08:00:00,135.52
2020-03-13 08:00:00,135.47
2020-03-14 08:00:00,135.45
2020-03-15 08:00:00,135.51
2020-03-16 08:00:00,135.44
2020-03-17 08:00:00,135.44
2020-03-18 08:00:00,135.44
2020-03-19 08:00:00,135.43
2020-03-19 09:25:00,135.43
2020-03-20 08:00:00,135.46
2020-03-21 08:00:00,135.44
2020-03-22 08:00:00,135.43
2020-03-23 08:00:00,135.43
2020-03-24 08:00:00,135.45
2020-03-25 08:00:00,135.49
2020-03-25 09:20:00,135.49
2020-03-26 08:00:00,135.55
2020-03-27 08:00:00,135.59
2020-03-28 08:00:00,135.59
2020-03-29 08:00:00,135.69
2020-03-30 08:00:00,135.69
2020-03-31 08:00:00,135.72
2020-04-01 08:00:00,135.45
2020-04-01 10:24:00,135.45
2020-04-02 08:00:00,135.34
2020-04-03 08:00:00,135.33
2020-04-04 08:00:00,135.29
2020-04-05 08:00:00,135.21
2020-04-05 10:16:00,135.21
2020-04-06 08:00:00,135.19
2020-04-07 08:00:00,135.2
2020-04-08 08:00:00,135.23
2020-04-09 08:00:00,135.38
2020-04-09 09:48:00,135.48
2020-04-10 08:00:00,135.43
2020-04-11 08:00:00,135.35
2020-04-12 08:00:00,135.36
2020-04-13 08:00:00,135.4
2020-04-14 08:00:00,135.37
2020-04-15 08:00:00,135.39
2020-04-16 08:00:00,135.43
2020-04-17 08:00:00,135.33
2020-04-18 08:00:00,135.3
2020-04-19 08:00:00,135.38
2020-04-20 08:00:00,135.42
2020-04-21 08:00:00,135.43
2020-04-22 08:00:00,135.45
2020-04-23 08:00:00,135.44
2020-04-24 08:00:00,135.48
2020-04-25 08:00:00,135.63
2020-04-26 08:00:00,135.69
2020-04-27 08:00:00,135.69
2020-04-27 10:40:00,135.7
2020-04-28 08:00:00,135.74
2020-04-29 08:00:00,135.73
2020-04-30 08:00:00,135.51
2020-05-01 08:00:00,135.56
2020-05-02 08:00:00,135.78
2020-05-03 08:00:00,135.92
2020-05-04 08:00:00,135.87
2020-05-05 08:00:00,135.75
2020-05-06 08:00:00,135.68
2020-05-07 08:00:00,135.8
2020-05-08 08:00:00,135.86
2020-05-09 08:00:00,135.87
2020-05-10 08:00:00,135.79
2020-05-11 08:00:00,135.81
2020-05-12 08:00:00,135.79
2020-05-13 08:00:00,135.7
2020-05-14 08:00:00,135.5
2020-05-15 08:00:00,135.37
2020-05-16 08:00:00,135.51
2020-05-17 08:00:00,135.65
2020-05-18 08:00:00,135.77
2020-05-19 08:00:00,135.84
2020-05-20 08:00:00,135.77
2020-05-21 08:00:00,135.75
2020-05-22 08:00:00,135.82
2020-05-23 08:00:00,135.89
2020-05-24 08:00:00,135.89
2020-05-25 08:00:00,135.91
2020-05-26 08:00:00,135.96
2020-05-27 08:00:00,135.83
2020-05-28 08:00:00,135.78
2020-05-29 08:00:00,135.83
2020-05-30 08:00:00,135.87
2020-05-31 08:00:00,135.91
2020-06-01 08:00:00,135.95
2020-06-01 10:10:00,135.94
2020-06-01 11:30:00,135.93
2020-06-01 14:00:00,135.93
2020-06-01 14:42:00,135.92
2020-06-01 19:00:00,135.91
2020-06-01 20:00:00,135.91
2020-06-02 00:00:00,135.91
2020-06-02 02:00:00,135.91
2020-06-02 06:00:00,135.91
2020-06-02 08:00:00,135.91
2020-06-02 14:00:00,135.91
2020-06-02 20:00:00,135.91
2020-06-02 21:30:00,135.92
2020-06-03 00:00:00,135.92
2020-06-03 00:30:00,135.93
2020-06-03 02:00:00,135.94
2020-06-03 02:30:00,135.95
2020-06-03 04:00:00,135.96
2020-06-03 06:00:00,135.96
2020-06-03 08:00:00,135.96
2020-06-03 14:00:00,135.96
2020-06-03 20:00:00,135.96
2020-06-04 00:00:00,135.96
2020-06-04 02:00:00,135.96
2020-06-04 03:30:00,135.95
2020-06-04 04:18:00,135.96
2020-06-04 06:00:00,135.95
2020-06-04 06:06:00,135.96
2020-06-04 08:00:00,135.96
2020-06-04 09:00:00,135.95
2020-06-04 09:54:00,135.96
2020-06-04 10:12:00,135.95
2020-06-04 14:00:00,135.95
2020-06-04 17:42:00,135.96
2020-06-04 20:00:00,135.96
2020-06-04 22:24:00,135.97
2020-06-05 00:00:00,135.97
2020-06-05 02:00:00,135.97
2020-06-05 06:00:00,135.97
2020-06-05 08:00:00,135.97
2020-06-05 14:00:00,135.96
2020-06-05 16:48:00,135.95
2020-06-05 20:00:00,135.94
2020-06-05 22:12:00,135.93
2020-06-06 00:00:00,135.93
2020-06-06 02:00:00,135.92
2020-06-06 06:00:00,135.92
2020-06-06 08:00:00,135.91
2020-06-06 11:36:00,135.92
2020-06-06 14:00:00,135.92
2020-06-06 20:00:00,135.92
2020-06-06 20:42:00,135.93
2020-06-06 22:06:00,135.94
2020-06-07 00:00:00,135.95
2020-06-07 00:48:00,135.96
2020-06-07 02:00:00,135.96
2020-06-07 02:12:00,135.97
2020-06-07 03:30:00,135.98
2020-06-07 04:30:00,135.99
2020-06-07 06:00:00,135.99
2020-06-07 06:36:00,136.01
2020-06-07 08:00:00,136.02
2020-06-07 09:06:00,136.03
2020-06-07 11:36:00,136.04
2020-06-07 12:54:00,136.05
2020-06-07 14:00:00,136.05
2020-06-07 15:18:00,136.06
2020-06-07 17:30:00,136.07
2020-06-07 20:00:00,136.07
2020-06-07 21:06:00,136.08
2020-06-07 22:24:00,136.09
2020-06-08 00:00:00,136.1
2020-06-08 02:00:00,136.11
2020-06-08 03:24:00,136.12
2020-06-08 06:00:00,136.13
2020-06-08 08:00:00,136.14
2020-06-08 08:06:00,136.15
2020-06-08 09:12:00,136.16
2020-06-08 11:00:00,136.17
2020-06-08 12:12:00,136.18
2020-06-08 14:00:00,136.19
2020-06-08 15:54:00,136.2
2020-06-08 17:00:00,136.21
2020-06-08 18:06:00,136.22
2020-06-08 20:00:00,136.22
2020-06-08 20:06:00,136.23
2020-06-08 21:36:00,136.24
2020-06-08 22:30:00,136.25
2020-06-09 00:00:00,136.26
2020-06-09 00:24:00,136.27
2020-06-09 02:00:00,136.28
2020-06-09 02:42:00,136.29
2020-06-09 04:12:00,136.3
2020-06-09 06:00:00,136.31
2020-06-09 08:00:00,136.32
2020-06-09 08:18:00,136.33
2020-06-09 10:26:00,136.34
2020-06-09 10:30:00,136.34
2020-06-09 14:00:00,136.35
2020-06-09 15:00:00,136.34
2020-06-09 20:00:00,136.34
2020-06-10 00:00:00,136.34
2020-06-10 02:00:00,136.34
2020-06-10 03:06:00,136.35
2020-06-10 04:48:00,136.34
2020-06-10 06:00:00,136.35
2020-06-10 06:42:00,136.34
2020-06-10 08:00:00,136.34
2020-06-10 12:00:00,136.34
2020-06-10 14:00:00,136.35
2020-06-10 15:42:00,136.36
2020-06-10 16:30:00,136.37
2020-06-10 20:00:00,136.37
2020-06-10 20:36:00,136.38
2020-06-10 22:36:00,136.39
2020-06-11 00:00:00,136.39
2020-06-11 02:00:00,136.4
2020-06-11 08:00:00,136.4
2020-06-11 11:00:00,136.45
2020-06-11 14:00:00,136.45
2020-06-11 16:18:00,136.46
2020-06-11 20:00:00,136.46
2020-06-11 20:12:00,136.47
2020-06-11 22:36:00,136.48
2020-06-12 00:00:00,136.48
2020-06-12 02:00:00,136.48
2020-06-12 06:00:00,136.48
2020-06-12 08:00:00,136.49
2020-06-12 08:30:00,136.48
2020-06-12 14:00:00,136.47
2020-06-12 16:00:00,136.46
2020-06-12 20:00:00,136.46
2020-06-13 00:00:00,136.46
2020-06-13 02:00:00,136.47
2020-06-13 02:54:00,136.48
2020-06-13 06:00:00,136.49
2020-06-13 08:00:00,136.5
2020-06-13 09:12:00,136.51
2020-06-13 11:24:00,136.52
2020-06-13 12:18:00,136.53
2020-06-13 14:00:00,136.53
2020-06-13 14:18:00,136.54
2020-06-13 15:42:00,136.55
2020-06-13 17:00:00,136.56
2020-06-13 18:12:00,136.57
2020-06-13 20:00:00,136.58
2020-06-13 20:42:00,136.59
2020-06-13 21:54:00,136.6
2020-06-14 00:00:00,136.61
2020-06-14 01:00:00,136.64
2020-06-14 02:00:00,136.66
2020-06-14 03:06:00,136.67
2020-06-14 06:00:00,136.67
2020-06-14 08:00:00,136.67
2020-06-14 10:36:00,136.66
2020-06-14 10:42:00,136.66
2020-06-14 14:00:00,136.65
2020-06-14 16:42:00,136.64
2020-06-14 18:18:00,136.63
2020-06-14 20:00:00,136.63
2020-06-14 21:36:00,136.62
2020-06-15 00:00:00,136.61
2020-06-15 02:00:00,136.6
2020-06-15 02:54:00,136.59
2020-06-15 06:00:00,136.58
2020-06-15 08:00:00,136.58
2020-06-15 08:24:00,136.57
2020-06-15 11:24:00,136.56
2020-06-15 14:00:00,136.56
2020-06-15 14:24:00,136.55
2020-06-15 20:00:00,136.55
2020-06-16 00:00:00,136.55
2020-06-16 02:00:00,136.55
2020-06-16 03:48:00,136.54
2020-06-16 06:00:00,136.54
2020-06-16 07:00:00,136.53
2020-06-16 08:00:00,136.53
2020-06-16 10:36:00,136.52
2020-06-16 12:06:00,136.51
2020-06-16 14:00:00,136.51
2020-06-16 15:06:00,136.5
2020-06-16 17:00:00,136.49
2020-06-16 20:00:00,136.48
2020-06-16 21:00:00,136.47
2020-06-16 22:42:00,136.46
2020-06-17 00:00:00,136.46
2020-06-17 00:54:00,136.45
2020-06-17 02:00:00,136.45
2020-06-17 03:54:00,136.44
2020-06-17 06:00:00,136.43
2020-06-17 08:00:00,136.42
2020-06-17 09:12:00,136.41
2020-06-17 10:48:00,136.4
2020-06-17 12:30:00,136.39
2020-06-17 14:00:00,136.39
2020-06-17 15:54:00,136.38
2020-06-17 20:00:00,136.38
2020-06-18 00:00:00,136.38
2020-06-18 00:18:00,136.39
2020-06-18 02:00:00,136.39
2020-06-18 06:00:00,136.39
2020-06-18 06:12:00,136.4
2020-06-18 08:00:00,136.41
2020-06-18 10:06:00,136.42
2020-06-18 12:30:00,136.43
2020-06-18 14:00:00,136.43
2020-06-18 14:12:00,136.44
2020-06-18 16:06:00,136.45
2020-06-18 17:30:00,136.46
2020-06-18 18:24:00,136.47
2020-06-18 20:00:00,136.48
2020-06-18 20:24:00,136.49
2020-06-18 21:18:00,136.5
2020-06-18 22:30:00,136.51
2020-06-19 00:00:00,136.52
2020-06-19 00:36:00,136.53
2020-06-19 02:00:00,136.54
2020-06-19 03:00:00,136.55
2020-06-19 04:30:00,136.56
2020-06-19 06:00:00,136.57
2020-06-19 08:00:00,136.58
2020-06-19 09:36:00,136.59
2020-06-19 14:00:00,136.61
2020-06-19 17:30:00,136.62
2020-06-19 18:54:00,136.63
2020-06-19 20:00:00,136.63
2020-06-19 21:18:00,136.64
2020-06-19 22:06:00,136.65
2020-06-20 00:00:00,136.66
2020-06-20 00:54:00,136.67
2020-06-20 02:00:00,136.67
2020-06-20 02:30:00,136.68
2020-06-20 03:24:00,136.69
2020-06-20 04:48:00,136.7
2020-06-20 06:00:00,136.71
2020-06-20 07:00:00,136.73
2020-06-20 08:00:00,136.74
2020-06-20 08:48:00,136.75
2020-06-20 09:42:00,136.76
2020-06-20 10:42:00,136.77
2020-06-20 11:54:00,136.78
2020-06-20 12:42:00,136.79
2020-06-20 14:00:00,136.8
2020-06-20 14:36:00,136.81
2020-06-20 15:30:00,136.82
2020-06-20 16:30:00,136.83
2020-06-20 18:00:00,136.84
2020-06-20 18:54:00,136.86
2020-06-20 20:00:00,136.87
2020-06-20 21:36:00,136.88
2020-06-20 22:54:00,136.89
2020-06-21 00:00:00,136.89
2020-06-21 02:00:00,136.9
2020-06-21 06:00:00,136.9
2020-06-21 08:00:00,136.9
2020-06-21 08:12:00,136.89
2020-06-21 10:20:00,136.89
2020-06-21 11:18:00,136.88
2020-06-21 14:00:00,136.88
2020-06-21 20:00:00,136.88
2020-06-21 21:30:00,136.87
2020-06-22 00:00:00,136.87
2020-06-22 02:00:00,136.87
2020-06-22 03:00:00,136.86
2020-06-22 06:00:00,136.85
2020-06-22 08:00:00,136.84
2020-06-22 08:36:00,136.83
2020-06-22 10:48:00,136.82
2020-06-22 12:30:00,136.81
2020-06-22 14:00:00,136.81
2020-06-22 14:06:00,136.8
2020-06-22 17:24:00,136.79
2020-06-22 20:00:00,136.78
2020-06-22 21:06:00,136.77
2020-06-23 00:00:00,136.77
2020-06-23 02:00:00,136.76
2020-06-23 06:00:00,136.76
2020-06-23 06:06:00,136.77
2020-06-23 08:00:00,136.77
2020-06-23 10:24:00,136.78
2020-06-23 14:00:00,136.78
2020-06-23 15:54:00,136.79
2020-06-23 17:36:00,136.8
2020-06-23 20:00:00,136.8
2020-06-23 20:54:00,136.81
2020-06-24 00:00:00,136.82
2020-06-24 02:00:00,136.82
2020-06-24 02:06:00,136.83
2020-06-24 06:00:00,136.84
2020-06-24 06:36:00,136.85
2020-06-24 08:00:00,136.85
2020-06-24 09:18:00,136.86
2020-06-24 10:48:00,136.87
2020-06-24 14:00:00,136.88
2020-06-24 15:30:00,136.89
2020-06-24 16:48:00,136.9
2020-06-24 18:54:00,136.91
2020-06-24 20:00:00,136.91
2020-06-24 20:18:00,136.92
2020-06-24 22:30:00,136.93
2020-06-25 00:00:00,136.93
2020-06-25 01:00:00,136.94
2020-06-25 02:00:00,136.94
2020-06-25 02:48:00,136.95
2020-06-25 06:00:00,136.95
2020-06-25 06:54:00,136.96
2020-06-25 08:00:00,136.96
2020-06-25 09:00:00,136.97
2020-06-25 11:54:00,136.98
2020-06-25 14:00:00,136.98
2020-06-25 15:36:00,136.99
2020-06-25 20:00:00,136.99
2020-06-26 00:00:00,137.0
2020-06-26 02:00:00,137.0
2020-06-26 06:00:00,137.01
2020-06-26 08:00:00,137.01
2020-06-26 14:00:00,137.01
2020-06-26 20:00:00,137.01
2020-06-27 00:00:00,137.01
2020-06-27 02:00:00,137.01
2020-06-27 06:00:00,137.01
2020-06-27 06:06:00,137.0
2020-06-27 08:00:00,136.99
2020-06-27 09:00:00,136.99
2020-06-27 09:55:00,136.99
2020-06-27 14:00:00,136.99
2020-06-27 14:06:00,136.98
2020-06-27 18:42:00,136.97
2020-06-27 20:00:00,136.97
2020-06-27 22:48:00,136.96
2020-06-28 00:00:00,136.96
2020-06-28 02:00:00,136.96
2020-06-28 02:06:00,136.95
2020-06-28 06:00:00,136.95
2020-06-28 08:00:00,136.94
2020-06-28 09:36:00,136.93
2020-06-28 14:00:00,136.93
2020-06-28 14:18:00,136.92
2020-06-28 20:00:00,136.92
2020-06-29 00:00:00,136.92
2020-06-29 02:00:00,136.92
2020-06-29 06:00:00,136.92
2020-06-29 08:00:00,136.92
2020-06-29 09:48:00,136.91
2020-06-29 14:00:00,136.91
2020-06-29 14:48:00,136.9
2020-06-29 20:00:00,136.9
2020-06-30 00:00:00,136.89
2020-06-30 02:00:00,136.89
2020-06-30 06:00:00,136.89
2020-06-30 08:00:00,136.89
2020-06-30 09:54:00,136.88
2020-06-30 14:00:00,136.87
2020-06-30 17:30:00,136.86
2020-06-30 20:00:00,136.86
2020-06-30 20:30:00,136.85
2020-07-01 00:00:00,136.84
2020-07-01 02:00:00,136.83
2020-07-01 03:42:00,136.82
2020-07-01 05:00:00,136.81
2020-07-01 06:00:00,136.8
2020-07-01 08:00:00,136.78
2020-07-01 08:48:00,136.77
2020-07-01 09:54:00,136.76
2020-07-01 10:48:00,136.75
2020-07-01 11:36:00,136.74
2020-07-01 12:30:00,136.73
2020-07-01 14:00:00,136.71
2020-07-01 14:54:00,136.7
2020-07-01 15:24:00,136.69
2020-07-01 16:48:00,136.67
2020-07-01 17:42:00,136.66
2020-07-01 18:36:00,136.65
2020-07-01 20:00:00,136.63
2020-07-01 20:54:00,136.62
2020-07-01 21:36:00,136.61
2020-07-01 22:42:00,136.6
2020-07-02 00:00:00,136.59
2020-07-02 00:12:00,136.58
2020-07-02 02:00:00,136.56
2020-07-02 02:24:00,136.55
2020-07-02 03:42:00,136.53
2020-07-02 04:48:00,136.51
2020-07-02 06:00:00,136.5
2020-07-02 06:48:00,136.48
2020-07-02 08:00:00,136.46
2020-07-02 09:00:00,136.44
2020-07-02 09:36:00,136.43
2020-07-02 09:42:00,136.43
2020-07-02 10:48:00,136.41
2020-07-02 11:36:00,136.39
2020-07-02 12:42:00,136.37
2020-07-02 14:00:00,136.35
2020-07-02 14:54:00,136.33
2020-07-02 15:42:00,136.31
2020-07-02 16:54:00,136.29
2020-07-02 17:36:00,136.28
2020-07-02 18:48:00,136.26
2020-07-02 20:00:00,136.24
2020-07-02 20:36:00,136.23
2020-07-02 21:36:00,136.22
2020-07-02 22:06:00,136.21
2020-07-03 00:00:00,136.19
2020-07-03 00:42:00,136.18
2020-07-03 02:00:00,136.17
2020-07-03 02:24:00,136.16
2020-07-03 04:00:00,136.14
2020-07-03 04:36:00,136.13
2020-07-03 06:00:00,136.12
2020-07-03 06:48:00,136.1
2020-07-03 08:00:00,136.09
2020-07-03 08:48:00,136.07
2020-07-03 09:48:00,136.06
2020-07-03 10:30:00,136.05
2020-07-03 12:00:00,136.03
2020-07-03 14:00:00,136.01
2020-07-03 14:54:00,136.0
2020-07-03 15:18:00,135.99
2020-07-03 16:48:00,135.98
2020-07-03 17:54:00,135.97
2020-07-03 20:00:00,135.96
2020-07-03 21:24:00,135.95
2020-07-04 00:00:00,135.95
2020-07-04 02:00:00,135.95
2020-07-04 06:00:00,135.95
2020-07-04 08:00:00,135.95
2020-07-04 10:15:00,135.95
2020-07-04 14:00:00,135.95
2020-07-04 20:00:00,135.95
2020-07-04 21:06:00,135.96
2020-07-05 00:00:00,135.96
2020-07-05 00:30:00,135.97
2020-07-05 02:00:00,135.97
2020-07-05 06:00:00,135.97
2020-07-05 06:30:00,135.98
2020-07-05 08:00:00,135.98
2020-07-05 14:00:00,135.99
2020-07-05 20:00:00,135.99
