STCD,STEP
10412314,0 days 00:04:00
10412324,0 days 00:05:00
10810213,0 days 00:05:00
10810221,0 days 00:05:00
10810226,0 days 00:05:00
10810311,0 days 00:05:00
10810323,0 days 00:05:00
10810408,0 days 00:05:00
10810424,0 days 00:05:00
10810433,0 days 00:05:00
10810444,0 days 00:05:00
10810579,0 days 00:05:00
10812382,0 days 00:05:00
10812386,0 days 00:05:00
10812392,0 days 00:05:00
10812780,0 days 00:05:00
10812915,0 days 00:05:00
10813412,0 days 00:05:00
10813415,0 days 00:05:00
10813419,0 days 00:05:00
10813622,0 days 00:05:00
10814689,0 days 00:05:00
10902215,0 days 00:05:00
10902219,0 days 00:05:00
10902431,0 days 00:05:00
10902433,0 days 00:05:00
10902437,0 days 00:05:00
10902440,0 days 00:05:00
10902829,0 days 00:05:00
10902872,0 days 00:05:00
10902883,0 days 00:05:00
10902892,0 days 00:05:00
10902893,0 days 00:05:00
10902918,0 days 00:05:00
10902929,0 days 00:05:00
10903016,0 days 00:05:00
10903034,0 days 00:05:00
10903037,0 days 00:05:00
10903048,0 days 00:05:00
10903049,0 days 00:05:00
10903112,0 days 00:05:00
10911152,0 days 00:05:00
10911611,0 days 00:05:00
10912384,0 days 00:05:00
10912388,0 days 00:05:00
10912392,0 days 00:05:00
10912605,0 days 00:05:00
10914162,0 days 00:05:00
10915013,0 days 00:05:00
10915071,0 days 00:05:00
10915081,0 days 00:05:00
11002058,0 days 00:05:00
11009524,0 days 00:05:00
11011380,0 days 00:05:00
11011470,0 days 00:05:00
11111974,0 days 00:05:00
11111994,0 days 00:05:00
10516897,0 days 00:06:00
10516898,0 days 00:06:00
10516918,0 days 00:06:00
10516948,0 days 00:06:00
10516988,0 days 00:06:00
10517038,0 days 00:06:00
10517058,0 days 00:06:00
10517188,0 days 00:06:00
10517308,0 days 00:06:00
10601388,0 days 00:06:00
10700490,0 days 00:06:00
11002900,0 days 00:06:00
11009208,0 days 00:06:00
11009258,0 days 00:06:00
11009338,0 days 00:06:00
11009588,0 days 00:06:00
11104421,0 days 00:06:00
11105520,0 days 00:06:00
11111978,0 days 00:06:00
11111998,0 days 00:06:00
11112198,0 days 00:06:00
11112328,0 days 00:06:00
11112388,0 days 00:06:00
11112418,0 days 00:06:00
11112468,0 days 00:06:00
11210188,0 days 00:06:00
11301900,0 days 00:06:00
11344902,0 days 00:06:00
20600659,0 days 00:06:00
20600869,0 days 00:06:00
20801477,0 days 00:06:00
20810739,0 days 00:06:00
20900559,0 days 00:06:00
20911257,0 days 00:06:00
21100659,0 days 00:06:00
21114767,0 days 00:06:00
21114887,0 days 00:06:00
21114937,0 days 00:06:00
21115037,0 days 00:06:00
21210807,0 days 00:06:00
21210847,0 days 00:06:00
21210877,0 days 00:06:00
21300789,0 days 00:06:00
11202010,0 days 00:12:00
11208810,0 days 00:12:00
11610264,0 days 00:15:00
11611450,0 days 00:15:00
20513371,0 days 00:30:00
10412278,0 days 01:00:00
10412338,0 days 01:00:00
10412358,0 days 01:00:00
10412394,0 days 01:00:00
10412398,0 days 01:00:00
10412468,0 days 01:00:00
10412478,0 days 01:00:00
10501790,0 days 01:00:00
10517008,0 days 01:00:00
10517028,0 days 01:00:00
10517078,0 days 01:00:00
10517248,0 days 01:00:00
10517249,0 days 01:00:00
10701210,0 days 01:00:00
10701600,0 days 01:00:00
10701900,0 days 01:00:00
10702000,0 days 01:00:00
10800037,0 days 01:00:00
10806006,0 days 01:00:00
10806040,0 days 01:00:00
10806070,0 days 01:00:00
10810403,0 days 01:00:00
10810602,0 days 01:00:00
10811000,0 days 01:00:00
10811780,0 days 01:00:00
10811981,0 days 01:00:00
10812360,0 days 01:00:00
10812402,0 days 01:00:00
10812750,0 days 01:00:00
10813409,0 days 01:00:00
10814510,0 days 01:00:00
10814620,0 days 01:00:00
10815100,0 days 01:00:00
10900300,0 days 01:00:00
10902920,0 days 01:00:00
10902940,0 days 01:00:00
10902950,0 days 01:00:00
10903026,0 days 01:00:00
10903035,0 days 01:00:00
10911000,0 days 01:00:00
10911600,0 days 01:00:00
10912401,0 days 01:00:00
10912402,0 days 01:00:00
10912817,0 days 01:00:00
10914800,0 days 01:00:00
10915800,0 days 01:00:00
11001027,0 days 01:00:00
11001510,0 days 01:00:00
11003710,0 days 01:00:00
11005250,0 days 01:00:00
11007910,0 days 01:00:00
11009138,0 days 01:00:00
11009158,0 days 01:00:00
11009178,0 days 01:00:00
11009268,0 days 01:00:00
11009288,0 days 01:00:00
11009298,0 days 01:00:00
11009444,0 days 01:00:00
11009548,0 days 01:00:00
11009682,0 days 01:00:00
11101110,0 days 01:00:00
11101400,0 days 01:00:00
11101980,0 days 01:00:00
11106800,0 days 01:00:00
11108320,0 days 01:00:00
11111938,0 days 01:00:00
11112228,0 days 01:00:00
11112248,0 days 01:00:00
11112268,0 days 01:00:00
11112398,0 days 01:00:00
11112489,0 days 01:00:00
11200400,0 days 01:00:00
11201000,0 days 01:00:00
11202500,0 days 01:00:00
